,questions_ru
0,"Типичная реклама органы предполагают, например, что реклама не должна: побуждать _________, причиной ненужных ________ или _____, а также не должны вызывать _______ преступления."
1,"Руководителям поручено управлять компанией в интересах ________. В частности, они обязаны действовать в интересах компании, а также обязанность ________ и _______."
2,"С подбором персонала связаны две основные проблемы. ______ это ключевая проблема, поскольку в соответствии с информационной политикой корпорации можно утверждать, что сотрудники имеют право знать, если их сокращают. ______ это вторая проблема, в частности, пакет услуг, который сотрудники получают при увольнении."
3,"_______ найдите мораль за пределами сферы рациональности в эмоциональном ""моральном порыве"" по отношению к другим."
4," Некоторые из ключевых различий между исламскими финансами и традиционными финансами включают в себя запрет на взимание и выплату _______, запрет на ______ и ______ транзакции, запрет на греховные инвестиции и требование, чтобы все финансовые продукты были подкреплены ______________________________________________________."
5, Какие из перечисленных ниже трех основных групп организационных характеристик являются критериями сегментации?
6," Пайн и Гилмор (1999) выделяют четыре различные сферы опыта, основанные на двух измерениях. Что это за измерения?"
7," Какие методы исследования предназначены для получения ответов на заранее определенные, стандартизированные вопросы от большого числа респондентов?"
8,"Когда цена устанавливается низкой по сравнению с конкурентами за завоевание доли рынка, эта стратегия называется:"
9,"Как только поезд отходит от станции, самолет взлетает или начинается фильм, эти места теряются и никогда не могут быть проданы. Это называется:"
10,"Фирма, занимающаяся маркетинговыми исследованиями, заключает контракты с клиентами на проведение полного комплекса маркетинговых исследований, включающего сбор данных, анализ и составление отчетов. Это__________ фирма."
11,"Шесть аспектов, которые обычно рассматриваются как составляющие внешнюю маркетинговую среду, включают в себя все следующие, за исключением:"
12,"Как называется предвзятость типа ""эмпирического правила"" при принятии решений?"
13,"Поскольку что гарантирует, что один человек не будет нести бремя выполнения всей упомянутой рабочей задачи?"
14,"Какая теория построена на принципе, согласно которому ""люди делают выбор относительно того, как себя вести, основываясь на ценностях и убеждениях""?"
15,Как происходит горизонтальная коммуникация в организации?
16,"Акции корпорации CCC в настоящее время оцениваются в 12 долларов и, как предполагается, обладают всеми свойствами геометрического броуновского движения. Ожидаемая годовая доходность по ним составляет 15%, годовая волатильность - 20%, а годовая безрисковость - 10%. Используя биномиальную решетку, определите цену опциона ""колл"" на акции CCC со сроком погашения через 10 месяцев и ценой исполнения в 14 долларов (пусть расстояние между вершинами вашего дерева будет равно 1 месяцу)."
17,"Известно, что Джордж сделал ставку в размере 100 000 долларов на победу ""Буллз"" в финале НБА. Если у Джорджа есть логарифмическая функция полезности от богатства и если его текущее состояние составляет 1 000 000 долларов, то какова, по его мнению, минимальная вероятность победы ""Буллз""?"
18,"Бой Олкотт и Джон Бакстон являются партнерами в сталелитейной компании. Они делят чистую прибыль пропорционально своим средним инвестициям. На 1 января Олкотт инвестировал 4000 долларов, а Бакстон - 5000 долларов. 1 мая Олкотт инвестировал дополнительно 2000 долларов, а Бакстон - 1750 долларов. 1 сентября Олкотт снял 500 долларов. 1 ноября каждый партнер инвестировал дополнительно по 2000 долларов. Чистая прибыль за год составила 8 736 долларов. Найдите долю каждого партнера в прибыли."
19,"На 1 января 1974 года начальный товарный запас компании составлял 30 000 долларов. В течение года объем закупок составил 87 500 долларов, чистый объем продаж - 102 000 долларов. Предполагая, что норма валовой прибыли составляет 40% от чистых продаж, каков конечный объем запасов при использовании метода оценки запасов с использованием валовой прибыли?"
20,"(а) Учитывая две серии скидок - 30-10-2 (1/2)% и 25-15-2%, какая из них лучше? (b) Учитывая серию скидок 15-15% и единую ставку в 30%, что лучше?"
21,7 июля акции Magee Data были проданы на максимуме в 23(1/8) и минимуме в 22(5/8). Акции Giant Industrials были проданы по цене 24(1/4) и 23(1/2). Г-н Тейлор приобрел 300 акций Magee Data на максимуме дня и 400 акций Giant Industrials на минимуме дня. Во что обошлась его покупка?
22,"Во время беспорядков автомобиль мистера Уинтера перевернулся, что принесло ему ущерб в размере 346,50 долларов США damage.Mr. Уинтер застраховал себя на 50 долларов с франшизой, но без полного покрытия. Сколько страховая компания заплатит мистеру Уинтеру?"
